id,planNumber,name,floor,type,area,seats,accessible,nameConfirmed,nameSource,note
f04-office-01,4.21,Офис печати,4,office,,,unknown,true,plan,
f04-studio-01,4.09,Базерум FAD,4,studio,340,,unknown,true,plan,
f04-studio-02,4.14,Базерум Illustration 4.14,4,studio,,,unknown,true,plan,
f04-studio-03,4.15,Базерум Illustration 4.15,4,studio,100,,unknown,true,plan,
f04-studio-04,4.16,Базерум GD,4,studio,,,unknown,true,plan,
f04-gallery-01,4.00,Галерея UContemporary,4,gallery,,,unknown,true,plan,
f04-office-02,4.05,Преподавательская 4.05,4,office,50,,unknown,true,plan,Над помещением антресоль со своей лестницей: площадь с чертежа (50 м²) больше габарита по осям (33 м²) на её счёт.
f04-lab-01,4.06,Компьютерный класс 4.06,4,lab,50,28,unknown,true,plan,"Площадь 50 м² — подпись на чертеже; расчёт по границам даёт 33 м². Границы сняты по осям, площадь на чертеже — по внутренней отделке; расхождение не разрешено, нужен обмер."
f04-lab-02,4.07,Компьютерный класс 4.07,4,lab,50,28,unknown,true,plan,"Площадь 50 м² — подпись на чертеже; расчёт по границам даёт 39 м². Границы сняты по осям, площадь на чертеже — по внутренней отделке; расхождение не разрешено, нужен обмер."
f04-lab-03,4.08,Компьютерный класс 4.08,4,lab,50,28,unknown,true,plan,"Площадь 50 м² — подпись на чертеже; расчёт по границам даёт 42 м². Границы сняты по осям, площадь на чертеже — по внутренней отделке; расхождение не разрешено, нужен обмер."
f04-storage-01,,"Кладовая (4 этаж, центральная)",4,storage,,,unknown,false,assumed,
f04-class-01,4.10,Семинарская 4.10,4,class,30,,unknown,true,plan,
f04-class-02,4.11,Семинарская 4.11,4,class,50,,unknown,true,plan,Над помещением антресоль со своей лестницей: площадь с чертежа (50 м²) больше габарита по осям (40 м²) на её счёт.
f04-tech-01,4.20,Антресоль 4.20,4,tech,30,,unknown,true,plan,"На чертеже подписана «Антресоль, 30 м²» со своей лестницей; в данных заведена как помещение верхнего уровня, полууровней схема не знает."
f04-storage-02,4.12,Кладовая 4.12,4,storage,,,unknown,true,plan,
f04-tech-02,4.13,Фотостудия 4.13,4,tech,70,,unknown,true,plan,
f04-tech-03,4.17,Тёмная комната 4.17,4,tech,40,,unknown,true,plan,Площадь 40 м² — подпись на чертеже; габарит по осям даёт 64 м²: в границы попал смежный тамбур. Нужен обмер.
f04-wc-01,,Санузел 4 этажа (восточный блок),4,wc,35,,unknown,true,plan,
f04-class-03,4.04,Многофункциональный зал,4,class,80,,unknown,true,plan,"Площадь 80 м² — подпись на чертеже; расчёт по границам даёт 101 м². Границы сняты по осям, площадь на чертеже — по внутренней отделке; расхождение не разрешено, нужен обмер."
f04-lab-04,4.03,Класс Apple 4.03,4,lab,,28,unknown,true,plan,
f04-studio-05,4.02,Базерум PD и IAD 4.02,4,studio,,,unknown,true,plan,
f04-studio-06,4.01,Базерум PD и IAD 4.01,4,studio,,,unknown,true,plan,
f04-studio-07,4.19,Базерум Illustration 4.19,4,studio,65,,unknown,true,plan,"Площадь 65 м² — подпись на чертеже; расчёт по границам даёт 51 м². Границы сняты по осям, площадь на чертеже — по внутренней отделке; расхождение не разрешено, нужен обмер."
f04-workshop-01,4.18,Текстильная мастерская,4,workshop,,,unknown,true,plan,
f04-tech-04,,"Технические помещения (4 этаж, западный блок)",4,tech,,,unknown,false,assumed,
f05-admin-01,,Администрация (южный блок),5,admin,,,unknown,true,plan,
f05-admin-02,,Администрация (северный блок),5,admin,,,unknown,true,plan,
f05-library-01,5.01,Learning Resource Centre,5,library,,,unknown,true,plan,
f05-office-01,5.02,Преподавательская 5.02,5,office,,,unknown,true,plan,
f05-studio-01,5.03,Базерум Fashion & Textiles,5,studio,215,,unknown,true,plan,
f05-studio-02,5.11,Художественная студия,5,studio,292,,unknown,true,plan,
f05-workshop-01,5.13,Мастерская Fashion 5.13,5,workshop,,,unknown,true,plan,
f05-workshop-02,5.14b,Ювелирная мастерская,5,workshop,,,unknown,true,plan,
f05-workshop-03,5.14a,Мастерская 3D,5,workshop,220,,unknown,true,plan,
f05-tech-01,,"Техническое помещение (5 этаж, центральное)",5,tech,,,unknown,false,assumed,
f05-lab-01,5.05,Класс Apple 5.05,5,lab,,28,unknown,true,plan,
f05-studio-03,5.07,Базерум Project Space,5,studio,,,unknown,true,plan,
f05-lab-02,5.09,Класс Apple 5.09,5,lab,,28,unknown,true,plan,
f05-storage-01,,"Кладовая (5 этаж, центральная)",5,storage,,,unknown,false,assumed,
f05-class-01,5.04,Семинарская 5.04,5,class,50,,unknown,true,plan,
f05-studio-04,5.06a,Базерум Contemporary Art 5.06a,5,studio,,,unknown,true,plan,
f05-studio-05,5.06b,Базерум Contemporary Art 5.06b,5,studio,,,unknown,true,plan,
f05-studio-06,5.08,Базерум CA,5,studio,,,unknown,true,plan,
f05-class-02,5.10,Семинарская 5.10,5,class,50,,unknown,true,plan,
f05-workshop-04,5.12,Мастерская Fashion 5.12,5,workshop,60,,unknown,true,plan,
f05-wc-01,,Санузел 5 этажа (западный),5,wc,,,unknown,true,plan,
f05-wc-02,,Санузел 5 этажа (восточный),5,wc,,,unknown,true,plan,
f05-tech-02,,"Технические помещения (5 этаж, западный блок)",5,tech,,,unknown,false,assumed,
